Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,1110,636360.000000000000000,4332000.000000000000000,1110.405273437500000
,306,633930.000000000000000,4331970.000000000000000,305.941162109375000
,277,633960.000000000000000,4331970.000000000000000,276.586334228515630
,247,633990.000000000000000,4331970.000000000000000,247.386337280273440
,218,634020.000000000000000,4331970.000000000000000,218.403289794921880
,190,634050.000000000000000,4331970.000000000000000,189.736663818359370
,162,634080.000000000000000,4331970.000000000000000,161.554946899414060
,134,634110.000000000000000,4331970.000000000000000,134.164077758789060
,108,634140.000000000000000,4331970.000000000000000,108.166542053222660
,85,634170.000000000000000,4331970.000000000000000,84.852813720703125
,60,634200.000000000000000,4331970.000000000000000,60.000000000000000
,30,634230.000000000000000,4331970.000000000000000,30.000000000000000
,0,634260.000000000000000,4331970.000000000000000,0.000000000000000
,0,634290.000000000000000,4331970.000000000000000,0.000000000000000
,0,634320.000000000000000,4331970.000000000000000,0.000000000000000
,0,634350.000000000000000,4331970.000000000000000,0.000000000000000
,30,634380.000000000000000,4331970.000000000000000,30.000000000000000
,42,634410.000000000000000,4331970.000000000000000,42.426406860351562
,67,634440.000000000000000,4331970.000000000000000,67.082038879394531
,85,634470.000000000000000,4331970.000000000000000,84.852813720703125
,108,634500.000000000000000,4331970.000000000000000,108.166542053222660
,127,634530.000000000000000,4331970.000000000000000,127.279220581054690
,150,634560.000000000000000,4331970.000000000000000,150.000000000000000
,175,634590.000000000000000,4331970.000000000000000,174.928558349609370
,201,634620.000000000000000,4331970.000000000000000,201.246124267578130
,212,634650.000000000000000,4331970.000000000000000,212.132034301757810
,218,634680.000000000000000,4331970.000000000000000,218.403289794921880
,228,634710.000000000000000,4331970.000000000000000,228.473190307617190
,242,634740.000000000000000,4331970.000000000000000,241.867736816406250
,258,634770.000000000000000,4331970.000000000000000,258.069763183593750
,277,634800.000000000000000,4331970.000000000000000,276.586334228515630
,297,634830.000000000000000,4331970.000000000000000,296.984863281250000
,319,634860.000000000000000,4331970.000000000000000,318.904388427734370
,339,634890.000000000000000,4331970.000000000000000,339.411254882812500
,361,634920.000000000000000,4331970.000000000000000,361.247833251953120
,379,634950.000000000000000,4331970.000000000000000,379.473327636718750
,371,634980.000000000000000,4331970.000000000000000,371.079498291015620
,365,635010.000000000000000,4331970.000000000000000,364.965759277343750
,361,635040.000000000000000,4331970.000000000000000,361.247833251953120
,360,635070.000000000000000,4331970.000000000000000,360.000000000000000
,361,635100.000000000000000,4331970.000000000000000,361.247833251953120
,365,635130.000000000000000,4331970.000000000000000,364.965759277343750
,371,635160.000000000000000,4331970.000000000000000,371.079498291015620
,379,635190.000000000000000,4331970.000000000000000,379.473327636718750
,390,635220.000000000000000,4331970.000000000000000,390.000000000000000
,402,635250.000000000000000,4331970.000000000000000,402.492248535156250
,417,635280.000000000000000,4331970.000000000000000,416.773315429687500
